M,mh_true_sim,mh_delta,mh_beta_x_delta,ours_true_sim,ours_delta,ours_beta_x_delta,ratio_ours_over_mh
100,1.0,0.26397889138676284,15.83873348320577,150.0,106.80000305175781,53.400001525878906,3.3714817906684487
200,1.0,0.23160937541771034,13.89656252506262,149.99000549316406,105.62000274658203,52.810001373291016,3.8002204702096316
400,1.0,0.2077839887485164,12.467039324910983,147.26666259765625,101.65666961669922,50.82833480834961,4.077017284030467
800,1.0,0.18993711176527225,11.396226705916336,127.58333587646484,78.88333129882812,39.44166564941406,3.460940771644879
1200,1.0,0.17614250447141572,10.568550268284943,108.86000061035156,57.91999816894531,28.959999084472656,2.740205453852874
1600,1.0,0.16760133157364787,10.056079894418872,97.72333526611328,45.46666717529297,22.733333587646484,2.2606556258829538
2000,1.0,0.16170275446924887,9.702165268154932,89.17666625976562,35.913333892822266,17.956666946411133,1.8507896382006246
2500,1.0,0.16786746232394303,10.072047739436583,82.98666381835938,28.643333435058594,14.321666717529297,1.4219220448542504
3000,1.0,0.15982038220097744,9.589222932058647,75.91666412353516,20.373332977294922,10.186666488647461,1.0623036465855271
4000,1.0,0.14558183021715426,8.734909813029256,70.20999908447266,13.673333168029785,6.836666584014893,0.7826831335816556
