clue_fraction,target,iterations,converged,exact_acc
0.05,126,121,True,0
0.05,416,121,True,0
0.05,392,37,True,0
0.05,275,121,True,0
0.05,256,121,True,0
0.05,348,121,True,0
0.05,89,121,True,0
0.05,377,121,True,0
0.05,182,121,True,0
0.05,80,121,True,0
0.05,219,121,True,0
0.05,468,121,True,0
0.05,222,121,True,0
0.05,426,121,True,0
0.05,418,121,True,0
0.05,241,27,True,0
0.05,397,121,True,0
0.05,159,121,True,0
0.05,399,25,True,0
0.05,249,143,True,0
0.05,140,28,True,0
0.05,445,121,True,0
0.05,174,122,True,0
0.05,57,117,True,0
0.05,293,121,True,0
0.05,179,121,True,0
0.05,227,16,True,0
0.05,323,55,True,0
0.05,487,28,True,0
0.05,297,119,True,0
0.05,316,55,True,0
0.05,21,11,True,0
0.05,125,121,True,0
0.05,74,121,True,0
0.05,28,20,True,0
0.05,225,121,True,0
0.05,66,121,True,0
0.05,333,121,True,0
0.05,480,16,True,0
0.05,58,124,True,0
0.05,167,64,True,0
0.05,100,121,True,0
0.05,450,135,True,0
0.05,42,119,True,0
0.05,133,121,True,0
0.05,127,121,True,0
0.05,499,119,True,0
0.05,313,121,True,0
0.05,357,121,True,0
0.05,68,56,True,0
0.05,244,37,True,0
0.05,105,19,True,0
0.05,67,129,True,0
0.05,346,121,True,0
0.05,204,127,True,0
0.05,300,119,True,0
0.05,11,121,True,0
0.05,325,121,True,0
0.05,351,121,True,0
0.05,317,65,True,0
0.05,129,121,True,0
0.05,168,126,True,0
0.05,71,121,True,0
0.05,477,121,True,0
0.05,169,121,True,0
0.05,429,52,True,0
0.05,233,121,True,0
0.05,498,34,True,0
0.05,263,121,True,0
0.05,84,50,True,0
0.05,497,121,True,0
0.05,93,121,True,0
0.05,282,121,True,0
0.05,347,121,True,0
0.05,202,121,True,0
0.05,440,121,True,0
0.05,452,127,True,0
0.05,62,61,True,0
0.05,414,121,True,0
0.05,134,121,True,0
0.05,120,125,True,0
0.05,178,128,True,0
0.05,193,128,True,0
0.05,114,72,True,0
0.05,248,121,True,0
0.05,442,121,True,0
0.05,435,121,True,0
0.05,149,33,True,0
0.05,72,121,True,0
0.05,310,127,True,0
0.05,322,123,True,0
0.05,155,121,True,0
0.05,463,121,True,0
0.05,343,121,True,0
0.05,24,153,True,0
0.05,160,120,True,0
0.05,359,121,True,0
0.05,352,121,True,0
0.05,434,131,True,0
0.05,10,56,True,0
0.05,53,116,True,0
0.05,55,150,True,0
0.05,132,121,True,0
0.05,200,121,True,0
0.05,220,121,True,0
0.05,266,121,True,0
0.05,238,121,True,0
0.05,453,121,True,0
0.05,151,125,True,0
0.05,456,144,True,0
0.05,394,152,True,0
0.05,197,28,True,0
0.05,135,121,True,0
0.05,234,121,True,0
0.05,254,121,True,0
0.05,15,144,True,0
0.05,150,121,True,0
0.05,493,38,True,0
0.05,123,121,True,0
0.05,307,65,True,0
0.05,272,119,True,0
0.05,161,121,True,0
0.05,147,33,True,0
0.05,181,136,True,0
0.05,444,121,True,0
0.05,411,140,True,0
0.05,195,147,True,0
0.05,228,58,True,0
0.05,390,121,True,0
0.05,409,132,True,0
0.05,292,121,True,0
0.05,281,8,True,0
0.05,481,145,True,0
0.05,65,70,True,0
0.05,243,39,True,0
0.05,328,121,True,0
0.05,121,121,True,0
0.05,130,121,True,0
0.05,361,45,True,0
0.05,373,141,True,0
0.05,7,121,True,0
0.05,422,121,True,0
0.05,113,121,True,0
0.05,288,132,True,0
0.05,479,120,True,0
0.05,391,35,True,0
0.05,280,112,True,0
0.05,23,121,True,0
0.05,50,121,True,0
0.05,86,121,True,0
0.05,365,121,True,0
0.05,131,19,True,0
0.05,315,121,True,0
0.05,143,118,True,0
0.05,190,121,True,0
0.05,209,65,True,0
0.05,464,123,True,0
0.05,337,121,True,0
0.05,410,130,True,0
0.05,369,121,True,0
0.05,384,116,True,0
0.05,46,124,True,0
0.05,289,121,True,0
0.05,235,121,True,0
0.05,398,121,True,0
0.05,218,134,True,0
0.05,128,120,True,0
0.05,63,67,True,0
0.05,5,121,True,0
0.05,362,123,True,0
0.05,111,121,True,0
0.05,383,121,True,0
0.05,252,121,True,0
0.05,491,121,True,0
0.05,259,121,True,0
0.05,451,45,True,0
0.05,363,121,True,0
0.05,417,69,True,0
0.05,12,121,True,0
0.05,495,121,True,0
0.05,47,9,True,0
0.05,408,121,True,0
0.05,386,121,True,0
0.05,488,121,True,0
0.05,39,130,True,0
0.05,124,9,True,0
0.05,372,121,True,0
0.05,308,121,True,0
0.05,201,25,True,0
0.05,112,121,True,0
0.05,34,49,True,0
0.05,277,125,True,0
0.05,184,149,True,0
0.05,353,121,True,0
0.05,465,173,True,0
0.05,217,134,True,0
0.05,355,91,True,0
0.05,8,121,True,0
0.05,320,121,True,0
0.05,118,120,True,0
0.07,130,65,True,0
0.07,428,121,True,0
0.07,77,37,True,0
0.07,216,120,True,0
0.07,25,171,True,0
0.07,237,38,True,0
0.07,389,49,True,0
0.07,443,146,True,0
0.07,200,126,True,0
0.07,119,128,True,0
0.07,135,74,True,0
0.07,164,119,True,0
0.07,478,37,True,0
0.07,497,89,True,0
0.07,395,121,True,0
0.07,372,41,True,0
0.07,5,124,True,0
0.07,458,150,True,0
0.07,173,48,True,0
0.07,41,54,True,0
0.07,32,90,True,0
0.07,243,28,True,0
0.07,89,50,True,0
0.07,388,121,True,0
0.07,342,121,True,0
0.07,496,120,True,0
0.07,102,120,True,0
0.07,407,121,True,0
0.07,65,156,True,0
0.07,73,68,True,0
0.07,429,121,True,0
0.07,70,45,True,0
0.07,404,119,True,0
0.07,327,183,True,0
0.07,281,28,True,0
0.07,261,150,True,0
0.07,363,49,True,0
0.07,198,18,True,0
0.07,42,56,True,0
0.07,236,130,True,0
0.07,422,121,True,0
0.07,335,146,True,0
0.07,282,50,True,0
0.07,426,65,True,0
0.07,337,24,True,0
0.07,111,27,True,0
0.07,147,121,True,0
0.07,191,117,True,0
0.07,270,7,True,0
0.07,298,122,True,0
0.07,219,27,True,0
0.07,50,121,True,0
0.07,40,61,True,0
0.07,353,147,True,0
0.07,344,120,True,0
0.07,464,53,True,0
0.07,212,121,True,0
0.07,432,123,True,0
0.07,179,29,True,0
0.07,148,50,True,0
0.07,489,32,True,0
0.07,256,38,True,0
0.07,483,66,True,0
0.07,238,60,True,0
0.07,454,25,True,0
0.07,476,122,True,0
0.07,362,126,True,0
0.07,408,157,True,0
0.07,137,49,True,0
0.07,350,122,True,0
0.07,490,63,True,0
0.07,94,159,True,0
0.07,8,146,True,0
0.07,394,133,True,0
0.07,180,121,True,0
0.07,197,121,True,0
0.07,493,24,True,0
0.07,157,39,True,0
0.07,72,61,True,0
0.07,296,121,True,0
0.07,88,121,True,0
0.07,246,23,True,0
0.07,257,116,True,0
0.07,220,121,True,0
0.07,151,28,True,0
0.07,209,119,True,0
0.07,149,49,True,0
0.07,189,151,True,0
0.07,113,75,True,0
0.07,343,120,True,0
0.07,84,125,True,0
0.07,190,146,True,0
0.07,17,121,True,0
0.07,2,9,True,0
0.07,112,119,True,0
0.07,445,72,True,0
0.07,107,121,True,0
0.07,204,55,True,0
0.07,205,116,True,0
0.07,381,145,True,0
0.07,447,69,True,0
0.07,451,57,True,0
0.07,86,4,True,0
0.07,313,119,True,0
0.07,369,162,True,0
0.07,316,127,True,0
0.07,141,121,True,0
0.07,133,121,True,0
0.07,345,122,True,0
0.07,378,35,True,0
0.07,315,121,True,0
0.07,348,49,True,0
0.07,307,130,True,0
0.07,421,28,True,0
0.07,405,65,True,0
0.07,477,69,True,0
0.07,24,121,True,0
0.07,465,49,True,0
0.07,449,120,True,0
0.07,276,58,True,0
0.07,323,181,True,0
0.07,7,131,True,0
0.07,126,97,True,0
0.07,349,157,True,0
0.07,338,121,True,0
0.07,379,65,True,0
0.07,37,57,True,0
0.07,367,62,True,0
0.07,60,125,True,0
0.07,229,41,True,0
0.07,334,14,True,0
0.07,14,102,True,0
0.07,450,130,True,0
0.07,468,164,True,0
0.07,312,149,True,0
0.07,134,121,True,0
0.07,472,146,True,0
0.07,117,121,True,0
0.07,410,120,True,0
0.07,310,9,True,0
0.07,419,46,True,0
0.07,358,121,True,0
0.07,300,120,True,0
0.07,213,58,True,0
0.07,79,118,True,0
0.07,188,128,True,0
0.07,78,148,True,0
0.07,356,126,True,0
0.07,357,65,True,0
0.07,128,48,True,0
0.07,412,65,True,0
0.07,413,132,True,0
0.07,71,120,True,0
0.07,370,120,True,0
0.07,351,42,True,0
0.07,467,58,True,0
0.07,150,126,True,0
0.07,43,68,True,0
0.07,195,165,True,0
0.07,15,151,True,0
0.07,284,160,True,0
0.07,437,65,True,0
0.07,469,123,True,0
0.07,85,127,True,0
0.07,390,125,True,0
0.07,235,65,True,0
0.07,272,121,True,0
0.07,233,58,True,0
0.07,291,117,True,0
0.07,153,127,True,0
0.07,269,37,True,0
0.07,139,131,True,0
0.07,377,155,True,0
0.07,35,136,True,0
0.07,302,7,True,0
0.07,110,29,True,0
0.07,18,28,True,0
0.07,121,121,True,0
0.07,495,31,True,0
0.07,44,41,True,0
0.07,240,128,True,0
0.07,267,121,True,0
0.07,439,126,True,0
0.07,241,37,True,0
0.07,142,28,True,0
0.07,115,121,True,0
0.07,56,28,True,0
0.07,320,8,True,0
0.07,260,121,True,0
0.07,254,125,True,0
0.07,406,146,True,0
0.07,308,37,True,0
0.07,374,121,True,0
0.07,455,33,True,0
0.07,253,182,True,0
0.07,90,121,True,0
0.07,275,128,True,0
0.07,481,121,True,0
0.07,16,65,True,0
0.07,82,118,True,0
0.09,270,152,True,0
0.09,170,122,True,0
0.09,375,52,True,0
0.09,261,72,True,0
0.09,178,152,True,0
0.09,132,121,True,0
0.09,118,121,True,0
0.09,7,69,True,0
0.09,289,28,True,0
0.09,115,148,True,0
0.09,61,136,True,0
