M,K,clue_fraction,iterations,exact_acc
200,400,0.05,8,0
200,400,0.05,12,0
200,400,0.05,6,0
200,400,0.05,16,0
200,400,0.05,9,0
200,400,0.05,21,0
200,400,0.05,9,0
200,400,0.05,6,0
200,400,0.05,8,0
200,400,0.05,14,0
200,400,0.05,9,0
200,400,0.05,6,0
200,400,0.05,9,0
200,400,0.05,15,0
200,400,0.05,9,0
200,400,0.05,5,0
200,400,0.05,6,0
200,400,0.05,30,0
200,400,0.05,9,0
200,400,0.05,12,0
200,400,0.05,9,0
200,400,0.05,9,0
200,400,0.05,9,0
200,400,0.05,9,0
200,400,0.05,12,0
200,400,0.05,9,0
200,400,0.05,7,0
200,400,0.05,9,0
200,400,0.05,9,0
200,400,0.05,15,0
200,400,0.05,6,0
200,400,0.05,8,0
200,400,0.05,9,0
200,400,0.05,9,0
200,400,0.05,9,0
200,400,0.05,9,0
200,400,0.05,9,0
200,400,0.05,9,0
200,400,0.05,9,0
200,400,0.05,9,0
200,400,0.05,9,0
200,400,0.05,16,0
200,400,0.05,9,0
200,400,0.05,15,0
200,400,0.05,9,0
200,400,0.05,9,0
200,400,0.05,28,0
200,400,0.05,4,0
200,400,0.05,6,0
200,400,0.05,9,0
200,400,0.05,10,0
200,400,0.05,7,0
200,400,0.05,9,0
200,400,0.05,9,0
200,400,0.05,9,0
200,400,0.05,9,0
200,400,0.05,6,0
200,400,0.05,9,0
200,400,0.05,9,0
200,400,0.05,9,0
200,400,0.05,5,0
200,400,0.05,9,0
200,400,0.05,14,0
200,400,0.05,9,0
200,400,0.05,6,0
200,400,0.05,7,0
200,400,0.05,10,0
200,400,0.05,10,0
200,400,0.05,9,0
200,400,0.05,9,0
200,400,0.05,9,0
200,400,0.05,8,0
200,400,0.05,9,0
200,400,0.05,9,0
200,400,0.05,8,0
200,400,0.05,5,0
200,400,0.05,5,0
200,400,0.05,9,0
200,400,0.05,9,0
200,400,0.05,9,0
200,400,0.05,16,0
200,400,0.05,9,0
200,400,0.05,14,0
200,400,0.05,9,0
200,400,0.05,9,0
200,400,0.05,9,0
200,400,0.05,9,0
200,400,0.05,9,0
200,400,0.05,14,0
200,400,0.05,7,0
200,400,0.05,6,0
200,400,0.05,9,0
200,400,0.05,11,0
200,400,0.05,9,0
200,400,0.05,4,0
200,400,0.05,9,0
200,400,0.05,9,0
200,400,0.05,4,0
200,400,0.05,9,0
200,400,0.05,6,0
200,400,0.1,7,0
200,400,0.1,11,0
200,400,0.1,9,0
200,400,0.1,19,0
200,400,0.1,10,0
200,400,0.1,11,0
200,400,0.1,10,0
200,400,0.1,16,0
200,400,0.1,17,0
200,400,0.1,19,0
200,400,0.1,22,0
200,400,0.1,4,0
200,400,0.1,8,0
200,400,0.1,17,0
200,400,0.1,6,0
200,400,0.1,18,0
200,400,0.1,21,0
200,400,0.1,9,0
200,400,0.1,4,0
200,400,0.1,14,0
200,400,0.1,9,0
200,400,0.1,6,0
200,400,0.1,17,0
200,400,0.1,41,0
200,400,0.1,5,0
200,400,0.1,17,0
200,400,0.1,5,0
200,400,0.1,10,0
200,400,0.1,14,0
200,400,0.1,5,0
200,400,0.1,12,0
200,400,0.1,7,0
200,400,0.1,6,0
200,400,0.1,5,0
200,400,0.1,11,0
200,400,0.1,23,0
200,400,0.1,18,0
200,400,0.1,8,0
200,400,0.1,6,0
200,400,0.1,4,0
200,400,0.1,16,0
200,400,0.1,7,0
200,400,0.1,6,0
200,400,0.1,8,0
200,400,0.1,5,0
200,400,0.1,31,0
200,400,0.1,9,0
200,400,0.1,6,0
200,400,0.1,8,0
200,400,0.1,7,0
200,400,0.1,19,0
200,400,0.1,6,0
