K,noise_percent,iterations,converged,initial_acc,final_acc
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,0.0,1,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,5.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,10.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,5,True,0.14814814814814814,0.12345679012345678
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,3,True,0.14814814814814814,0.09876543209876543
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,2,True,1.0,1.0
10,15.0,3,True,0.20987654320987653,0.14814814814814814
10,15.0,2,True,1.0,1.0
10,20.0,2,True,1.0,1.0
10,20.0,4,True,0.12345679012345678,0.1111111111111111
10,20.0,2,True,1.0,1.0
10,20.0,2,True,1.0,1.0
10,20.0,2,True,1.0,1.0
10,20.0,11,True,0.24691358024691357,0.19753086419753085
10,20.0,3,True,0.07407407407407407,0.14814814814814814
10,20.0,3,True,0.13580246913580246,0.09876543209876543
10,20.0,8,True,0.2222222222222222,0.08641975308641975
10,20.0,3,True,0.24691358024691357,0.14814814814814814
10,20.0,2,True,0.2345679012345679,0.2345679012345679
10,20.0,2,True,1.0,1.0
10,20.0,7,True,0.2345679012345679,0.13580246913580246
10,20.0,2,True,1.0,1.0
10,20.0,7,True,0.08641975308641975,0.16049382716049382
10,20.0,2,True,1.0,1.0
10,20.0,7,True,0.1111111111111111,0.14814814814814814
10,20.0,4,True,0.1111111111111111,0.19753086419753085
10,20.0,2,True,1.0,1.0
10,20.0,4,True,0.08641975308641975,0.1728395061728395
10,20.0,2,True,1.0,1.0
10,20.0,5,True,0.20987654320987653,0.16049382716049382
10,20.0,2,True,0.08641975308641975,0.08641975308641975
10,20.0,5,True,0.24691358024691357,0.13580246913580246
10,20.0,2,True,1.0,1.0
10,20.0,2,True,1.0,1.0
10,20.0,2,True,1.0,1.0
10,20.0,2,True,0.1111111111111111,0.1111111111111111
