M,noise_percent,no_feedback,with_feedback
50,0.0,1.0,1.0
50,20.0,1.0,1.0
50,30.0,1.0,1.0
50,35.0,1.0,1.0
50,38.0,1.0,1.0
50,40.0,0.9570370370370369,1.0
50,42.0,0.8535802469135803,0.931358024691358
50,45.0,0.2696296296296296,0.38197530864197526
50,48.0,0.11160493827160493,0.12567901234567902
50,50.0,0.111358024691358,0.134320987654321
50,55.00000000000001,0.10074074074074074,0.1130864197530864
50,60.0,0.11061728395061729,0.11061728395061728
50,80.0,0.1130864197530864,0.11012345679012345
50,100.0,0.11555555555555554,0.11456790123456789
100,0.0,1.0,1.0
100,20.0,1.0,1.0
100,30.0,1.0,1.0
100,35.0,1.0,1.0
100,38.0,1.0,1.0
100,40.0,0.9051851851851852,0.9824691358024691
100,42.0,0.6602469135802468,0.7879012345679013
100,45.0,0.17975308641975307,0.2150617283950617
100,48.0,0.11555555555555554,0.11432098765432099
100,50.0,0.11185185185185183,0.10567901234567902
100,55.00000000000001,0.114320987654321,0.11234567901234566
100,60.0,0.11481481481481483,0.11407407407407406
100,80.0,0.11679012345679013,0.11753086419753087
100,100.0,0.11012345679012346,0.11185185185185187
200,0.0,1.0,1.0
200,20.0,1.0,1.0
200,30.0,1.0,1.0
200,35.0,0.9953086419753086,1.0
200,38.0,0.982716049382716,1.0
200,40.0,0.8851851851851852,0.945679012345679
200,42.0,0.4587654320987655,0.7365432098765433
200,45.0,0.14567901234567898,0.2051851851851852
200,48.0,0.10888888888888887,0.11037037037037038
200,50.0,0.11234567901234566,0.11037037037037038
200,55.00000000000001,0.10617283950617284,0.11580246913580247
200,60.0,0.11160493827160492,0.10716049382716047
200,80.0,0.11506172839506171,0.1185185185185185
200,100.0,0.11259259259259259,0.11679012345679013
500,0.0,1.0,1.0
500,20.0,1.0,1.0
500,30.0,1.0,1.0
500,35.0,1.0,1.0
500,38.0,0.9308641975308644,0.9676543209876542
500,40.0,0.7876543209876543,0.9281481481481481
500,42.0,0.3511111111111111,0.5259259259259259
500,45.0,0.13283950617283946,0.17209876543209876
500,48.0,0.11703703703703704,0.11728395061728394
500,50.0,0.11135802469135803,0.11234567901234568
500,55.00000000000001,0.11209876543209873,0.11358024691358022
500,60.0,0.1096296296296296,0.11209876543209876
500,80.0,0.1254320987654321,0.11456790123456788
500,100.0,0.11456790123456788,0.12469135802469136
1000,0.0,1.0,1.0
1000,20.0,1.0,1.0
1000,30.0,1.0,1.0
1000,35.0,1.0,1.0
1000,38.0,0.9224691358024693,0.9827160493827161
1000,40.0,0.6525925925925926,0.8071604938271605
1000,42.0,0.32938271604938263,0.505432098765432
1000,45.0,0.10740740740740741,0.11901234567901237
1000,48.0,0.1111111111111111,0.11037037037037037
1000,50.0,0.11777777777777777,0.11925925925925926
1000,55.00000000000001,0.11061728395061728,0.10641975308641975
1000,60.0,0.11506172839506172,0.10913580246913578
1000,80.0,0.10543209876543211,0.10617283950617283
1000,100.0,0.11333333333333333,0.1039506172839506
1500,0.0,1.0,1.0
1500,20.0,1.0,1.0
1500,30.0,1.0,1.0
1500,35.0,0.9992592592592593,1.0
1500,38.0,0.9197530864197531,0.9827160493827161
1500,40.0,0.5392592592592592,0.7348148148148149
1500,42.0,0.20641975308641974,0.33382716049382716
1500,45.0,0.11901234567901232,0.10691358024691355
1500,48.0,0.10888888888888887,0.10938271604938272
1500,50.0,0.11012345679012345,0.11777777777777779
1500,55.00000000000001,0.1037037037037037,0.10962962962962963
1500,60.0,0.1133333333333333,0.10790123456790124
1500,80.0,0.12074074074074073,0.11308641975308639
1500,100.0,0.10716049382716046,0.10814814814814812
2000,0.0,1.0,1.0
2000,20.0,1.0,1.0
2000,30.0,1.0,1.0
2000,35.0,1.0,1.0
2000,38.0,0.9135802469135803,1.0
2000,40.0,0.468395061728395,0.6792592592592592
2000,42.0,0.20790123456790124,0.2972839506172839
2000,45.0,0.11629629629629629,0.13012345679012344
2000,48.0,0.11604938271604938,0.10518518518518519
2000,50.0,0.11407407407407406,0.11456790123456788
2000,55.00000000000001,0.11407407407407408,0.11012345679012345
2000,60.0,0.11185185185185183,0.10790123456790125
2000,80.0,0.10962962962962962,0.11135802469135803
2000,100.0,0.111358024691358,0.10913580246913579
