density,noise_percent,iterations,converged,initial_acc,final_acc
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,0.0,1,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
0.002,5.0,2,True,1.0,1.0
