M,sigma,outer_exact,outer_ci_lo,outer_ci_hi,cov_exact,cov_ci_lo,cov_ci_hi,pinv_exact,pinv_ci_lo,pinv_ci_hi,modern_exact,modern_ci_lo,modern_ci_hi,sdm_exact,sdm_ci_lo,sdm_ci_hi,dam_exact,dam_ci_lo,dam_ci_hi,knn_exact,knn_ci_lo,knn_ci_hi,ours_exact,ours_ci_lo,ours_ci_hi,vh_oneshot_exact,vh_oneshot_ci_lo,vh_oneshot_ci_hi,vh_recurrent_exact,vh_recurrent_ci_lo,vh_recurrent_ci_hi
100,0.3,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,0.915,0.8681031145576462,0.9462547005301477,1.0,0.9811539940816791,1.0,0.0,0.0,0.018846005918320894,1.0,0.9811539940816791,1.0,1.0,0.9811539940816791,1.0,1.0,0.9811539940816791,1.0,1.0,0.9811539940816791,1.0,1.0,0.9811539940816791,1.0
200,0.3,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,1.0,0.9811539940816791,1.0,0.0,0.0,0.018846005918320894,0.995,0.9722256001302286,0.999116854010634,1.0,0.9811539940816791,1.0,0.995,0.9722256001302286,0.999116854010634,0.975,0.9428208558483829,0.9892754385292123,1.0,0.9811539940816791,1.0
400,0.3,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,1.0,0.9811539940816791,1.0,0.0,0.0,0.018846005918320894,0.995,0.9722256001302286,0.999116854010634,1.0,0.9811539940816791,1.0,0.94,0.8980673646931491,0.9653481500987285,0.54,0.4708216309361468,0.6076706885903875,0.98,0.9497121344948062,0.9921956998236058
800,0.3,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,0.99,0.9642775148038205,0.9972533993962251,0.0,0.0,0.018846005918320894,0.96,0.9230670617058012,0.9795946128493436,1.0,0.9811539940816791,1.0,0.575,0.5057080512046821,0.6414650479075696,0.075,0.045974507057252416,0.12004459797332034,0.81,0.7499864142552062,0.8583290620754351
1200,0.3,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,0.985,0.9568335194437211,0.9948858548155076,0.0,0.0,0.018846005918320894,0.94,0.8980673646931491,0.9653481500987285,1.0,0.9811539940816791,1.0,0.315,0.25462218077944276,0.38235084141033604,0.035,0.017055324637357105,0.07047146086668134,0.655,0.5867546071792236,0.7174031309860971
1600,0.3,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,0.98,0.9497121344948062,0.9921956998236058,0.0,0.0,0.018846005918320894,0.945,0.9042120755340645,0.9690149791986299,0.995,0.9722256001302286,0.999116854010634,0.19,0.14167093792456506,0.250013585744794,0.02,0.007804300176394188,0.050287865505193874,0.405,0.3393765611244294,0.4742041800000517
2000,0.3,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,0.945,0.9042120755340645,0.9690149791986299,0.0,0.0,0.018846005918320894,0.885,0.8333517476611362,0.9221368277817569,1.0,0.9811539940816791,1.0,0.085,0.05374529946985246,0.13189688544235392,0.02,0.007804300176394188,0.050287865505193874,0.215,0.16371792563672208,0.2770242977367209
2500,0.3,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,0.92,0.8740095102048769,0.9501598448237337,0.0,0.0,0.018846005918320894,0.86,0.8051000619915237,0.9013308137472852,1.0,0.9811539940816791,1.0,0.05,0.027382349028644986,0.08957905629784384,0.0,0.0,0.018846005918320894,0.085,0.05374529946985246,0.13189688544235392
3000,0.3,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,0.95,0.9104209437021562,0.9726176509713551,0.0,0.0,0.018846005918320894,0.915,0.8681031145576462,0.9462547005301477,1.0,0.9811539940816791,1.0,0.03,0.013820125830748327,0.06389511973247333,0.0,0.0,0.018846005918320894,0.1,0.06566994117157123,0.14940686356308552
4000,0.3,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,0.95,0.9104209437021562,0.9726176509713551,0.0,0.0,0.018846005918320894,0.91,0.8622332538615105,0.9423130212854665,1.0,0.9811539940816791,1.0,0.02,0.007804300176394188,0.050287865505193874,0.0,0.0,0.018846005918320894,0.085,0.05374529946985246,0.13189688544235392
