config,H,K,density,sigma,exact,cleaned_overlap
"H=1000,K=150 (baseline, density=0.15)",1000,150,0.15,0.0,1.0,1.0
"H=1000,K=150 (baseline, density=0.15)",1000,150,0.15,0.1,1.0,1.0
"H=1000,K=150 (baseline, density=0.15)",1000,150,0.15,0.2,1.0,1.0
"H=1000,K=150 (baseline, density=0.15)",1000,150,0.15,0.3,0.9625,0.9715
"H=1000,K=150 (baseline, density=0.15)",1000,150,0.15,0.4,0.825,0.86075
"H=1000,K=150 (baseline, density=0.15)",1000,150,0.15,0.5,0.4375,0.5563333333333333
"H=1000,K=150 (baseline, density=0.15)",1000,150,0.15,0.6,0.325,0.4651666666666666
"H=1000,K=150 (baseline, density=0.15)",1000,150,0.15,0.8,0.075,0.27558333333333335
"H=1000,K=150 (baseline, density=0.15)",1000,150,0.15,1.0,0.05,0.24916666666666668
"H=1000,K=300 (same H, denser, density=0.30)",1000,300,0.3,0.0,1.0,1.0
"H=1000,K=300 (same H, denser, density=0.30)",1000,300,0.3,0.1,1.0,1.0
"H=1000,K=300 (same H, denser, density=0.30)",1000,300,0.3,0.2,1.0,1.0
"H=1000,K=300 (same H, denser, density=0.30)",1000,300,0.3,0.3,0.975,0.9844583333333332
"H=1000,K=300 (same H, denser, density=0.30)",1000,300,0.3,0.4,0.85,0.9039583333333333
"H=1000,K=300 (same H, denser, density=0.30)",1000,300,0.3,0.5,0.475,0.6625
"H=1000,K=300 (same H, denser, density=0.30)",1000,300,0.3,0.6,0.3875,0.6064166666666667
"H=1000,K=300 (same H, denser, density=0.30)",1000,300,0.3,0.8,0.15,0.4578333333333333
"H=1000,K=300 (same H, denser, density=0.30)",1000,300,0.3,1.0,0.075,0.4043333333333333
"H=2000,K=150 (same K, sparser, density=0.075)",2000,150,0.075,0.0,1.0,1.0
"H=2000,K=150 (same K, sparser, density=0.075)",2000,150,0.075,0.1,1.0,1.0
"H=2000,K=150 (same K, sparser, density=0.075)",2000,150,0.075,0.2,1.0,1.0
"H=2000,K=150 (same K, sparser, density=0.075)",2000,150,0.075,0.3,0.975,0.9791666666666666
"H=2000,K=150 (same K, sparser, density=0.075)",2000,150,0.075,0.4,0.8375,0.8585833333333334
"H=2000,K=150 (same K, sparser, density=0.075)",2000,150,0.075,0.5,0.525,0.5890000000000001
"H=2000,K=150 (same K, sparser, density=0.075)",2000,150,0.075,0.6,0.4,0.4768333333333333
"H=2000,K=150 (same K, sparser, density=0.075)",2000,150,0.075,0.8,0.175,0.2816666666666666
"H=2000,K=150 (same K, sparser, density=0.075)",2000,150,0.075,1.0,0.0625,0.18308333333333335
"H=2000,K=300 (double both, same density=0.15)",2000,300,0.15,0.0,1.0,1.0
"H=2000,K=300 (double both, same density=0.15)",2000,300,0.15,0.1,1.0,1.0
"H=2000,K=300 (double both, same density=0.15)",2000,300,0.15,0.2,1.0,1.0
"H=2000,K=300 (double both, same density=0.15)",2000,300,0.15,0.3,1.0,1.0
"H=2000,K=300 (double both, same density=0.15)",2000,300,0.15,0.4,0.875,0.9019166666666667
"H=2000,K=300 (double both, same density=0.15)",2000,300,0.15,0.5,0.575,0.6646666666666666
"H=2000,K=300 (double both, same density=0.15)",2000,300,0.15,0.6,0.3875,0.5174583333333332
"H=2000,K=300 (double both, same density=0.15)",2000,300,0.15,0.8,0.15,0.3325
"H=2000,K=300 (double both, same density=0.15)",2000,300,0.15,1.0,0.05,0.24791666666666665
"H=500,K=150 (smaller H, denser, density=0.30)",500,150,0.3,0.0,1.0,1.0
"H=500,K=150 (smaller H, denser, density=0.30)",500,150,0.3,0.1,1.0,1.0
"H=500,K=150 (smaller H, denser, density=0.30)",500,150,0.3,0.2,1.0,1.0
"H=500,K=150 (smaller H, denser, density=0.30)",500,150,0.3,0.3,0.9375,0.9582499999999999
"H=500,K=150 (smaller H, denser, density=0.30)",500,150,0.3,0.4,0.725,0.8275833333333334
"H=500,K=150 (smaller H, denser, density=0.30)",500,150,0.3,0.5,0.3125,0.5598333333333333
"H=500,K=150 (smaller H, denser, density=0.30)",500,150,0.3,0.6,0.125,0.44316666666666665
"H=500,K=150 (smaller H, denser, density=0.30)",500,150,0.3,0.8,0.1375,0.44725000000000004
"H=500,K=150 (smaller H, denser, density=0.30)",500,150,0.3,1.0,0.025,0.37825
