M,H,K,engram_gram_rank,engram_gram_smallest_eig,engram_gram_cond
500,1000,150,500,7.78787378404286,1979.0878401798122
500,2000,300,500,44.39951546657944,712.0073693202174
800,1000,150,800,0.9397206586868303,26192.171961314416
800,2000,300,800,22.990300612342715,2196.28269621946
1200,1000,150,1000,0.33965083513790306,108608.42612898482
1200,2000,300,1200,8.282081328125019,9111.374651710012
1600,1000,150,1000,1.6398952942821186,29961.767847264426
1600,2000,300,1600,1.6893220539988052,59490.338464618675
2000,1000,150,1000,2.6637785164112895,23056.881585860327
2000,2000,300,1997,0.0013446550709423934,93331732.57243791
