sigma,true_class,overlap_W_IH_vs_target,overlap_W_IMG_self_consistency
0.0,3,0.34,1.0
0.0,1,0.74,1.0
0.0,7,0.34,1.0
0.0,3,0.8,1.0
0.0,9,1.0,1.0
0.0,5,1.0,1.0
0.0,1,0.94,1.0
0.0,4,1.0,1.0
0.0,7,0.7933333333333333,1.0
0.0,2,0.8866666666666667,1.0
0.0,7,1.0,1.0
0.0,7,0.92,1.0
0.0,2,0.3333333333333333,1.0
0.0,9,0.8333333333333334,1.0
0.0,8,0.26,1.0
0.0,7,0.8333333333333334,1.0
0.0,7,0.23333333333333334,1.0
0.0,3,0.94,1.0
0.0,8,1.0,1.0
0.0,4,1.0,1.0
0.0,2,0.7,1.0
0.0,6,0.9933333333333333,1.0
0.0,8,0.74,1.0
0.0,7,0.9733333333333334,1.0
0.0,1,1.0,1.0
0.0,6,1.0,1.0
0.0,2,0.34,1.0
0.0,7,0.34,1.0
0.0,6,1.0,1.0
0.0,9,0.46,1.0
0.0,4,0.84,1.0
0.0,9,1.0,1.0
0.0,6,1.0,1.0
0.0,1,0.9933333333333333,1.0
0.0,9,0.3333333333333333,1.0
0.0,7,0.5333333333333333,1.0
0.0,1,0.94,1.0
0.0,1,1.0,1.0
0.0,4,0.9266666666666666,1.0
0.0,7,0.12666666666666668,1.0
0.0,2,0.9866666666666667,1.0
0.0,4,0.98,1.0
0.0,5,0.7733333333333333,1.0
0.0,1,1.0,1.0
0.0,3,0.96,1.0
0.0,9,1.0,1.0
0.0,4,0.98,1.0
0.0,3,0.98,1.0
0.0,3,0.9933333333333333,1.0
0.0,9,0.8333333333333334,1.0
0.0,5,0.94,1.0
0.0,9,0.7666666666666667,1.0
0.0,6,0.2733333333333333,1.0
0.0,2,1.0,1.0
0.0,2,0.9333333333333333,1.0
0.0,6,0.96,1.0
0.0,2,0.88,1.0
0.0,1,1.0,1.0
0.0,8,0.4666666666666667,1.0
0.0,1,1.0,1.0
0.0,6,1.0,1.0
0.0,6,1.0,1.0
0.0,6,0.98,1.0
0.0,1,0.9866666666666667,1.0
0.0,1,1.0,1.0
0.0,9,0.9733333333333334,1.0
0.0,9,1.0,1.0
0.0,3,0.8933333333333333,1.0
0.0,3,0.9866666666666667,1.0
0.0,8,0.7933333333333333,1.0
0.0,6,0.8866666666666667,1.0
0.0,2,0.9733333333333334,1.0
0.0,6,1.0,1.0
0.0,9,0.8933333333333333,1.0
0.0,2,0.92,1.0
0.0,7,0.8666666666666667,1.0
0.0,5,0.58,1.0
0.0,2,0.9,1.0
0.0,1,0.84,1.0
0.0,6,0.9066666666666666,1.0
0.0,4,1.0,1.0
0.0,9,0.98,1.0
0.0,3,0.98,1.0
0.0,5,0.9933333333333333,1.0
0.0,1,1.0,1.0
0.0,8,0.92,1.0
0.0,9,0.8866666666666667,1.0
0.0,7,0.9933333333333333,1.0
0.0,5,0.5933333333333334,1.0
0.0,4,1.0,1.0
0.0,1,1.0,1.0
0.0,4,0.29333333333333333,1.0
0.0,5,0.94,1.0
0.0,4,1.0,1.0
0.0,2,0.6533333333333333,1.0
0.0,6,1.0,1.0
0.0,4,1.0,1.0
0.0,9,0.17333333333333334,1.0
0.0,3,0.9533333333333334,1.0
0.0,4,0.64,1.0
0.1,7,0.24666666666666667,0.86
0.1,6,0.5866666666666667,0.9
0.1,5,0.25333333333333335,0.8733333333333333
0.1,6,0.4266666666666667,0.86
0.1,1,0.32666666666666666,0.8266666666666667
0.1,4,0.22,0.8533333333333334
0.1,9,0.07333333333333333,0.8266666666666667
0.1,5,0.14666666666666667,0.82
0.1,1,0.4066666666666667,0.8533333333333334
0.1,1,0.2733333333333333,0.9066666666666666
0.1,1,0.4066666666666667,0.8533333333333334
0.1,4,0.07333333333333333,0.8533333333333334
0.1,5,0.12666666666666668,0.88
0.1,5,0.7,0.8866666666666667
0.1,4,0.24666666666666667,0.8333333333333334
0.1,1,0.4533333333333333,0.8666666666666667
0.1,6,0.8066666666666666,0.8933333333333333
0.1,9,0.34,0.8733333333333333
0.1,8,0.10666666666666667,0.84
0.1,8,0.26,0.8666666666666667
0.1,5,0.35333333333333333,0.8533333333333334
0.1,4,0.41333333333333333,0.8466666666666667
0.1,9,0.16,0.8733333333333333
0.1,1,0.43333333333333335,0.8533333333333334
0.1,6,0.12,0.7933333333333333
0.1,2,0.98,0.9133333333333333
0.1,3,0.16,0.8666666666666667
0.1,9,0.3,0.92
0.1,4,0.14666666666666667,0.9
0.1,3,0.30666666666666664,0.86
0.1,3,0.18666666666666668,0.86
0.1,6,0.7133333333333334,0.88
0.1,4,0.06666666666666667,0.8666666666666667
0.1,9,0.38,0.8533333333333334
0.1,4,0.13333333333333333,0.84
0.1,6,0.18,0.88
0.1,5,0.2866666666666667,0.8866666666666667
0.1,7,0.23333333333333334,0.8666666666666667
0.1,6,0.09333333333333334,0.8866666666666667
0.1,2,0.20666666666666667,0.9
0.1,2,0.36666666666666664,0.8733333333333333
0.1,6,0.3466666666666667,0.8666666666666667
0.1,6,0.4866666666666667,0.9
0.1,7,0.3933333333333333,0.86
0.1,3,0.8,0.8666666666666667
0.1,8,0.25333333333333335,0.9
0.1,1,0.2866666666666667,0.7733333333333333
0.1,4,0.3333333333333333,0.8666666666666667
0.1,7,0.34,0.8733333333333333
0.1,6,0.62,0.8266666666666667
0.1,9,0.18666666666666668,0.9
0.1,8,0.10666666666666667,0.8866666666666667
0.1,1,0.32,0.7533333333333333
0.1,2,0.02,0.8466666666666667
0.1,9,0.28,0.8866666666666667
0.1,2,0.86,0.9
0.1,7,0.28,0.88
0.1,9,0.2733333333333333,0.88
0.1,4,0.06,0.88
0.1,7,0.4533333333333333,0.8866666666666667
0.1,5,0.49333333333333335,0.86
0.1,2,0.07333333333333333,0.8866666666666667
0.1,7,0.58,0.8733333333333333
0.1,2,0.9933333333333333,0.8466666666666667
0.1,9,0.4,0.88
0.1,5,0.24,0.8866666666666667
0.1,2,0.04666666666666667,0.8533333333333334
0.1,5,0.34,0.8933333333333333
0.1,5,0.04666666666666667,0.8933333333333333
0.1,7,0.32,0.8133333333333334
0.1,8,0.1,0.86
0.1,5,0.12,0.86
0.1,1,0.9,0.8466666666666667
0.1,9,0.2,0.88
0.1,4,0.24,0.8933333333333333
0.1,9,0.21333333333333335,0.8933333333333333
0.1,6,0.26,0.86
0.1,9,0.66,0.8666666666666667
0.1,6,0.5266666666666666,0.92
0.1,8,0.16,0.84
