dataset,sigma,target,cleaned_overlap,exact,knn_exact
MNIST,0.0,176,1.0,1,1
MNIST,0.0,180,1.0,1,1
MNIST,0.0,124,1.0,1,1
MNIST,0.0,196,1.0,1,1
MNIST,0.0,126,1.0,1,1
MNIST,0.0,115,1.0,1,1
MNIST,0.0,50,1.0,1,1
MNIST,0.0,191,1.0,1,1
MNIST,0.0,116,1.0,1,1
MNIST,0.0,86,1.0,1,1
MNIST,0.0,50,1.0,1,1
MNIST,0.0,43,1.0,1,1
MNIST,0.0,22,1.0,1,1
MNIST,0.0,112,1.0,1,1
MNIST,0.0,31,1.0,1,1
MNIST,0.0,104,1.0,1,1
MNIST,0.0,144,1.0,1,1
MNIST,0.0,187,1.0,1,1
MNIST,0.0,40,1.0,1,1
MNIST,0.0,131,1.0,1,1
MNIST,0.0,120,1.0,1,1
MNIST,0.0,148,1.0,1,1
MNIST,0.0,84,1.0,1,1
MNIST,0.0,96,1.0,1,1
MNIST,0.0,153,1.0,1,1
MNIST,0.0,101,1.0,1,1
MNIST,0.0,138,1.0,1,1
MNIST,0.0,138,1.0,1,1
MNIST,0.0,137,1.0,1,1
MNIST,0.0,20,1.0,1,1
MNIST,0.0,188,1.0,1,1
MNIST,0.0,10,1.0,1,1
MNIST,0.0,148,1.0,1,1
MNIST,0.0,166,1.0,1,1
MNIST,0.0,128,1.0,1,1
MNIST,0.0,187,1.0,1,1
MNIST,0.0,149,1.0,1,1
MNIST,0.0,63,1.0,1,1
MNIST,0.0,44,1.0,1,1
MNIST,0.0,53,1.0,1,1
MNIST,0.0,83,1.0,1,1
MNIST,0.0,194,1.0,1,1
MNIST,0.0,195,1.0,1,1
MNIST,0.0,177,1.0,1,1
MNIST,0.0,89,1.0,1,1
MNIST,0.0,80,1.0,1,1
MNIST,0.0,63,1.0,1,1
MNIST,0.0,77,1.0,1,1
MNIST,0.0,65,1.0,1,1
MNIST,0.0,135,1.0,1,1
MNIST,0.0,28,1.0,1,1
MNIST,0.0,93,1.0,1,1
MNIST,0.0,103,1.0,1,1
MNIST,0.0,154,1.0,1,1
MNIST,0.0,130,1.0,1,1
MNIST,0.0,91,1.0,1,1
MNIST,0.0,24,1.0,1,1
MNIST,0.0,39,1.0,1,1
MNIST,0.0,133,1.0,1,1
MNIST,0.0,86,1.0,1,1
MNIST,0.0,73,1.0,1,1
MNIST,0.0,84,1.0,1,1
MNIST,0.0,168,1.0,1,1
MNIST,0.0,136,1.0,1,1
MNIST,0.0,134,1.0,1,1
MNIST,0.0,18,1.0,1,1
MNIST,0.0,113,1.0,1,1
MNIST,0.0,62,1.0,1,1
MNIST,0.0,17,1.0,1,1
MNIST,0.0,140,1.0,1,1
MNIST,0.0,2,1.0,1,1
MNIST,0.0,57,1.0,1,1
MNIST,0.0,27,1.0,1,1
MNIST,0.0,81,1.0,1,1
MNIST,0.0,59,1.0,1,1
MNIST,0.0,39,1.0,1,1
MNIST,0.0,132,1.0,1,1
MNIST,0.0,164,1.0,1,1
MNIST,0.0,127,1.0,1,1
MNIST,0.0,125,1.0,1,1
MNIST,0.0,177,1.0,1,1
MNIST,0.0,192,1.0,1,1
MNIST,0.0,184,1.0,1,1
MNIST,0.0,59,1.0,1,1
MNIST,0.0,107,1.0,1,1
MNIST,0.0,154,1.0,1,1
MNIST,0.0,182,1.0,1,1
MNIST,0.0,24,1.0,1,1
MNIST,0.0,174,1.0,1,1
MNIST,0.0,45,1.0,1,1
MNIST,0.0,42,1.0,1,1
MNIST,0.0,56,1.0,1,1
MNIST,0.0,107,1.0,1,1
MNIST,0.0,70,1.0,1,1
MNIST,0.0,7,1.0,1,1
MNIST,0.0,96,1.0,1,1
MNIST,0.0,1,1.0,1,1
MNIST,0.0,158,1.0,1,1
MNIST,0.0,153,1.0,1,1
MNIST,0.0,2,1.0,1,1
MNIST,0.0,45,1.0,1,1
MNIST,0.0,61,1.0,1,1
MNIST,0.0,180,1.0,1,1
MNIST,0.0,123,1.0,1,1
MNIST,0.0,169,1.0,1,1
MNIST,0.0,187,1.0,1,1
MNIST,0.0,61,1.0,1,1
MNIST,0.0,4,1.0,1,1
MNIST,0.0,173,1.0,1,1
MNIST,0.0,182,1.0,1,1
MNIST,0.0,122,1.0,1,1
MNIST,0.0,32,1.0,1,1
MNIST,0.0,41,1.0,1,1
