M,ridge_lambda,zero_noise_overlap,sigma_0.1_exact
500,0.1,0.9936666666666666,1.0
500,1.0,0.9583200000000001,0.98
500,10.0,0.8033466666666667,0.98
800,0.1,0.90485,1.0
800,1.0,0.8519249999999999,1.0
800,10.0,0.7063749999999999,1.0
1200,0.1,0.7623444444444444,0.86
1200,1.0,0.7222055555555555,0.96
1200,10.0,0.6168333333333333,0.96
1600,0.1,0.6744249999999999,0.62
1600,1.0,0.6461833333333334,0.92
1600,10.0,0.5665833333333333,0.94
2000,0.1,0.6169466666666668,0.38
2000,1.0,0.5953566666666666,0.72
2000,10.0,0.5327666666666666,0.74
