config,dataset,M,img_dim,sigma,target,initial_overlap,cleaned_overlap,exact,recon_corr_initial,recon_corr_cleaned
MNIST M=200 (baseline),mnist,200,784,0.0,176,1.0,1.0,1,0.9999999999997304,0.9999999999997304
MNIST M=200 (baseline),mnist,200,784,0.0,180,1.0,1.0,1,0.9999999999998158,0.9999999999998158
MNIST M=200 (baseline),mnist,200,784,0.0,124,1.0,1.0,1,0.9999999999995648,0.9999999999995648
MNIST M=200 (baseline),mnist,200,784,0.0,196,1.0,1.0,1,0.9999999999996384,0.9999999999996384
MNIST M=200 (baseline),mnist,200,784,0.0,126,1.0,1.0,1,0.9999999999995511,0.9999999999995511
MNIST M=200 (baseline),mnist,200,784,0.0,115,1.0,1.0,1,0.9999999999997005,0.9999999999997005
MNIST M=200 (baseline),mnist,200,784,0.0,50,1.0,1.0,1,0.9999999999997936,0.9999999999997936
MNIST M=200 (baseline),mnist,200,784,0.0,191,1.0,1.0,1,0.9999999999998099,0.9999999999998099
MNIST M=200 (baseline),mnist,200,784,0.0,116,1.0,1.0,1,0.9999999999992986,0.9999999999992986
MNIST M=200 (baseline),mnist,200,784,0.0,86,1.0,1.0,1,0.9999999999996984,0.9999999999996984
MNIST M=200 (baseline),mnist,200,784,0.0,50,1.0,1.0,1,0.9999999999997936,0.9999999999997936
MNIST M=200 (baseline),mnist,200,784,0.0,43,1.0,1.0,1,0.9999999999995451,0.9999999999995451
MNIST M=200 (baseline),mnist,200,784,0.0,22,1.0,1.0,1,0.9999999999993711,0.9999999999993711
MNIST M=200 (baseline),mnist,200,784,0.0,112,1.0,1.0,1,0.9999999999997434,0.9999999999997434
MNIST M=200 (baseline),mnist,200,784,0.0,31,1.0,1.0,1,0.9999999999996771,0.9999999999996771
MNIST M=200 (baseline),mnist,200,784,0.0,104,1.0,1.0,1,0.9999999999998244,0.9999999999998244
MNIST M=200 (baseline),mnist,200,784,0.0,144,1.0,1.0,1,0.9999999999996532,0.9999999999996532
MNIST M=200 (baseline),mnist,200,784,0.0,187,1.0,1.0,1,0.9999999999998213,0.9999999999998213
MNIST M=200 (baseline),mnist,200,784,0.0,40,1.0,1.0,1,0.9999999999996495,0.9999999999996495
MNIST M=200 (baseline),mnist,200,784,0.0,131,1.0,1.0,1,0.9999999999991631,0.9999999999991631
MNIST M=200 (baseline),mnist,200,784,0.0,120,1.0,1.0,1,0.9999999999998189,0.9999999999998189
MNIST M=200 (baseline),mnist,200,784,0.0,148,1.0,1.0,1,0.9999999999998176,0.9999999999998176
MNIST M=200 (baseline),mnist,200,784,0.0,84,1.0,1.0,1,0.9999999999997679,0.9999999999997679
MNIST M=200 (baseline),mnist,200,784,0.0,96,1.0,1.0,1,0.9999999999997086,0.9999999999997086
MNIST M=200 (baseline),mnist,200,784,0.0,153,1.0,1.0,1,0.9999999999997058,0.9999999999997058
MNIST M=200 (baseline),mnist,200,784,0.0,101,1.0,1.0,1,0.9999999999996589,0.9999999999996589
MNIST M=200 (baseline),mnist,200,784,0.0,138,1.0,1.0,1,0.9999999999996116,0.9999999999996116
MNIST M=200 (baseline),mnist,200,784,0.0,138,1.0,1.0,1,0.9999999999996116,0.9999999999996116
MNIST M=200 (baseline),mnist,200,784,0.0,137,1.0,1.0,1,0.999999999999713,0.999999999999713
MNIST M=200 (baseline),mnist,200,784,0.0,20,1.0,1.0,1,0.9999999999997392,0.9999999999997392
MNIST M=200 (baseline),mnist,200,784,0.0,188,1.0,1.0,1,0.9999999999997674,0.9999999999997674
MNIST M=200 (baseline),mnist,200,784,0.0,10,1.0,1.0,1,0.9999999999995114,0.9999999999995114
MNIST M=200 (baseline),mnist,200,784,0.0,148,1.0,1.0,1,0.9999999999998176,0.9999999999998176
MNIST M=200 (baseline),mnist,200,784,0.0,166,1.0,1.0,1,0.9999999999996254,0.9999999999996254
MNIST M=200 (baseline),mnist,200,784,0.0,128,1.0,1.0,1,0.9999999999998124,0.9999999999998124
MNIST M=200 (baseline),mnist,200,784,0.0,187,1.0,1.0,1,0.9999999999998213,0.9999999999998213
MNIST M=200 (baseline),mnist,200,784,0.0,149,1.0,1.0,1,0.9999999999998174,0.9999999999998174
MNIST M=200 (baseline),mnist,200,784,0.0,63,1.0,1.0,1,0.9999999999996736,0.9999999999996736
MNIST M=200 (baseline),mnist,200,784,0.0,44,1.0,1.0,1,0.9999999999996018,0.9999999999996018
MNIST M=200 (baseline),mnist,200,784,0.0,53,1.0,1.0,1,0.9999999999996297,0.9999999999996297
MNIST M=200 (baseline),mnist,200,784,0.1,83,0.9866666666666667,1.0,1,0.9926061581502148,0.9999999999997398
MNIST M=200 (baseline),mnist,200,784,0.1,194,0.98,1.0,1,0.990667882384633,0.9999999999995247
MNIST M=200 (baseline),mnist,200,784,0.1,195,0.9466666666666667,1.0,1,0.9768248087819776,0.9999999999993987
MNIST M=200 (baseline),mnist,200,784,0.1,177,0.9333333333333333,1.0,1,0.986182056637001,0.9999999999998018
MNIST M=200 (baseline),mnist,200,784,0.1,89,0.9666666666666667,1.0,1,0.989300609691506,0.9999999999995456
