sigma,target,initial_overlap,cleaned_overlap,iters,cell_acc,exact,recon_corr_initial,recon_corr_cleaned,recon_mse_cleaned
0.0,176,1.0,1.0,1,1.0,1,0.9999999999997304,0.9999999999997304,7.629873e-14
0.0,180,1.0,1.0,1,1.0,1,0.9999999999998158,0.9999999999998158,1.1883317e-13
0.0,124,1.0,1.0,1,1.0,1,0.9999999999995648,0.9999999999995648,1.0175646e-13
0.0,196,1.0,1.0,1,1.0,1,0.9999999999996384,0.9999999999996384,1.3675992e-13
0.0,126,1.0,1.0,1,1.0,1,0.9999999999995511,0.9999999999995511,1.0888758e-13
0.0,115,1.0,1.0,1,1.0,1,0.9999999999997005,0.9999999999997005,1.3632654e-13
0.0,50,1.0,1.0,1,1.0,1,0.9999999999997936,0.9999999999997936,1.3691258e-13
0.0,191,1.0,1.0,1,1.0,1,0.9999999999998099,0.9999999999998099,1.6167917e-13
0.0,116,1.0,1.0,1,1.0,1,0.9999999999992986,0.9999999999992986,1.0146711e-13
0.0,86,1.0,1.0,1,1.0,1,0.9999999999996984,0.9999999999996984,9.6564995e-14
0.0,50,1.0,1.0,1,1.0,1,0.9999999999997936,0.9999999999997936,1.3691258e-13
0.0,43,1.0,1.0,1,1.0,1,0.9999999999995451,0.9999999999995451,1.1262278e-13
0.0,22,1.0,1.0,1,1.0,1,0.9999999999993711,0.9999999999993711,1.4204419e-13
0.0,112,1.0,1.0,1,1.0,1,0.9999999999997434,0.9999999999997434,8.739965e-14
0.0,31,1.0,1.0,1,1.0,1,0.9999999999996771,0.9999999999996771,1.3266179e-13
0.0,104,1.0,1.0,1,1.0,1,0.9999999999998244,0.9999999999998244,1.6054484e-13
0.0,144,1.0,1.0,1,1.0,1,0.9999999999996532,0.9999999999996532,1.3539643e-13
0.0,187,1.0,1.0,1,1.0,1,0.9999999999998213,0.9999999999998213,1.6674112e-13
0.0,40,1.0,1.0,1,1.0,1,0.9999999999996495,0.9999999999996495,7.778937e-14
0.0,131,1.0,1.0,1,1.0,1,0.9999999999991631,0.9999999999991631,1.2570377e-13
0.0,120,1.0,1.0,1,1.0,1,0.9999999999998189,0.9999999999998189,1.8241876e-13
0.0,148,1.0,1.0,1,1.0,1,0.9999999999998176,0.9999999999998176,1.6838337e-13
0.0,84,1.0,1.0,1,1.0,1,0.9999999999997679,0.9999999999997679,1.7962437e-13
0.0,96,1.0,1.0,1,1.0,1,0.9999999999997086,0.9999999999997086,1.369963e-13
0.0,153,1.0,1.0,1,1.0,1,0.9999999999997058,0.9999999999997058,8.822285e-14
0.0,101,1.0,1.0,1,1.0,1,0.9999999999996589,0.9999999999996589,7.694079e-14
0.0,138,1.0,1.0,1,1.0,1,0.9999999999996116,0.9999999999996116,8.7888233e-14
0.0,138,1.0,1.0,1,1.0,1,0.9999999999996116,0.9999999999996116,8.7888233e-14
0.0,137,1.0,1.0,1,1.0,1,0.999999999999713,0.999999999999713,1.1871995e-13
0.0,20,1.0,1.0,1,1.0,1,0.9999999999997392,0.9999999999997392,9.561202e-14
