noise_percent,digit_cell_acc_no_feedback,digit_cell_acc_with_feedback,cleaned_engram_overlap,cleaned_engram_top1_acc
35.0,1.0,1.0,1.0,1.0
36.0,1.0,1.0,1.0,1.0
37.0,1.0,1.0,1.0,1.0
38.0,0.9937037037037038,1.0,0.987,1.0
39.0,0.9306172839506174,0.9820987654320987,0.9251999999999999,0.98
40.0,0.8518518518518519,0.9325925925925926,0.8404666666666667,0.93
41.0,0.7861728395061729,0.8959259259259259,0.7826000000000001,0.92
42.0,0.4253086419753086,0.5932098765432099,0.47853333333333337,0.63
43.0,0.32456790123456786,0.48061728395061726,0.3886,0.5
44.0,0.19209876543209878,0.3045679012345679,0.2938,0.28
45.0,0.16074074074074077,0.24567901234567902,0.2634666666666667,0.17
46.0,0.12604938271604937,0.12987654320987654,0.24226666666666666,0.05
47.0,0.12012345679012348,0.12938271604938273,0.22493333333333332,0.02
48.0,0.10802469135802467,0.10790123456790124,0.2308666666666667,0.01
49.0,0.10777777777777779,0.11074074074074075,0.23046666666666663,0.0
50.0,0.11197530864197529,0.10962962962962962,0.22300000000000003,0.0
51.0,0.10703703703703704,0.1102469135802469,0.2316,0.0
52.0,0.11111111111111112,0.11641975308641975,0.2248666666666667,0.0
53.0,0.10703703703703704,0.114320987654321,0.22893333333333332,0.0
54.0,0.115679012345679,0.10728395061728394,0.22773333333333334,0.0
55.00000000000001,0.11024691358024691,0.11172839506172838,0.22553333333333334,0.0
