M,load_ratio_M_over_N,mean_overlap,exact_rate
20,0.025510204081632654,1.0,1.0
40,0.05102040816326531,1.0,1.0
60,0.07653061224489796,0.9995535714285715,0.825
80,0.10204081632653061,0.9982780612244898,0.625
100,0.12755102040816327,0.9926658163265305,0.225
108,0.1377551020408163,0.9823341836734695,0.15
120,0.15306122448979592,0.915625,0.0
140,0.17857142857142858,0.7459183673469388,0.0
160,0.20408163265306123,0.6457908163265305,0.0
200,0.25510204081632654,0.4487244897959183,0.0
300,0.3826530612244898,0.4033163265306123,0.0
500,0.6377551020408163,0.3241071428571428,0.0
