M,sigma,tau,exact,ci_lo,ci_hi
100,0.0,2.0,1.0,0.9811539940816791,1.0
100,0.3,2.0,1.0,0.9811539940816791,1.0
200,0.0,2.0,1.0,0.9811539940816791,1.0
200,0.3,2.0,0.995,0.9722256001302286,0.999116854010634
400,0.0,2.0,1.0,0.9811539940816791,1.0
400,0.3,2.0,0.885,0.8333517476611362,0.9221368277817569
800,0.0,2.0,1.0,0.9811539940816791,1.0
800,0.3,2.0,0.35,0.28728715939415395,0.41836664238134236
1200,0.0,2.0,0.99,0.9642775148038205,0.9972533993962251
1200,0.3,2.0,0.18,0.13294550662534108,0.2391159371623843
1600,0.0,2.0,0.985,0.9568335194437211,0.9948858548155076
1600,0.3,2.0,0.08,0.04984015517626642,0.12599048979512317
2000,0.0,2.0,0.94,0.8980673646931491,0.9653481500987285
2000,0.3,2.0,0.04,0.02040538715065641,0.07693293829419882
2500,0.0,2.0,0.855,0.7995121871510563,0.8971071486469359
2500,0.3,2.0,0.015,0.005114145184492387,0.043166480556278884
3000,0.0,2.0,0.77,0.7069157192180299,0.8229074375860769
3000,0.3,2.0,0.0,0.0,0.018846005918320894
4000,0.0,2.0,0.605,0.5358822087449843,0.6701601300121683
4000,0.3,2.0,0.015,0.005114145184492387,0.043166480556278884
