M,tau,beta,exact,ci_lo,ci_hi
2000,2.0,0.5,0.04,0.02040538715065641,0.07693293829419882
2000,1.0,1.0,0.075,0.045974507057252416,0.12004459797332034
2000,0.5,2.0,0.085,0.05374529946985246,0.13189688544235392
2000,0.2,5.0,0.1,0.06566994117157123,0.14940686356308552
2000,0.1,10.0,0.1,0.06566994117157123,0.14940686356308552
2000,0.05,20.0,0.1,0.06566994117157123,0.14940686356308552
4000,2.0,0.5,0.015,0.005114145184492387,0.043166480556278884
4000,1.0,1.0,0.02,0.007804300176394188,0.050287865505193874
4000,0.5,2.0,0.025,0.010724561470787711,0.05717914415161715
4000,0.2,5.0,0.04,0.02040538715065641,0.07693293829419882
4000,0.1,10.0,0.04,0.02040538715065641,0.07693293829419882
4000,0.05,20.0,0.04,0.02040538715065641,0.07693293829419882
