operator,noise_percent,digit_cell_acc
identity (no separation),0.0,0.11382716049382718
softmax tau=2.0 (baseline),0.0,1.0
softmax tau=0.5 (sharper),0.0,1.0
polynomial n=8 (dense assoc. mem.),0.0,1.0
threshold top-5 (sparse dist. mem.),0.0,0.13444444444444445
argmax (winner-take-all),0.0,1.0
identity (no separation),5.0,0.11308641975308645
softmax tau=2.0 (baseline),5.0,1.0
softmax tau=0.5 (sharper),5.0,1.0
polynomial n=8 (dense assoc. mem.),5.0,1.0
threshold top-5 (sparse dist. mem.),5.0,0.1408641975308642
argmax (winner-take-all),5.0,1.0
identity (no separation),10.0,0.11382716049382716
softmax tau=2.0 (baseline),10.0,1.0
softmax tau=0.5 (sharper),10.0,1.0
polynomial n=8 (dense assoc. mem.),10.0,1.0
threshold top-5 (sparse dist. mem.),10.0,0.1339506172839506
argmax (winner-take-all),10.0,1.0
identity (no separation),15.0,0.11296296296296295
softmax tau=2.0 (baseline),15.0,1.0
softmax tau=0.5 (sharper),15.0,1.0
polynomial n=8 (dense assoc. mem.),15.0,1.0
threshold top-5 (sparse dist. mem.),15.0,0.13506172839506173
argmax (winner-take-all),15.0,1.0
identity (no separation),20.0,0.11246913580246913
softmax tau=2.0 (baseline),20.0,1.0
softmax tau=0.5 (sharper),20.0,1.0
polynomial n=8 (dense assoc. mem.),20.0,0.7849382716049382
threshold top-5 (sparse dist. mem.),20.0,0.1366666666666667
argmax (winner-take-all),20.0,1.0
identity (no separation),25.0,0.111358024691358
softmax tau=2.0 (baseline),25.0,1.0
softmax tau=0.5 (sharper),25.0,1.0
polynomial n=8 (dense assoc. mem.),25.0,0.30444444444444446
threshold top-5 (sparse dist. mem.),25.0,0.14074074074074072
argmax (winner-take-all),25.0,1.0
identity (no separation),30.0,0.11283950617283951
softmax tau=2.0 (baseline),30.0,1.0
softmax tau=0.5 (sharper),30.0,1.0
polynomial n=8 (dense assoc. mem.),30.0,0.15172839506172842
threshold top-5 (sparse dist. mem.),30.0,0.13444444444444445
argmax (winner-take-all),30.0,1.0
identity (no separation),35.0,0.11098765432098766
softmax tau=2.0 (baseline),35.0,1.0
softmax tau=0.5 (sharper),35.0,1.0
polynomial n=8 (dense assoc. mem.),35.0,0.12074074074074075
threshold top-5 (sparse dist. mem.),35.0,0.13728395061728393
argmax (winner-take-all),35.0,1.0
identity (no separation),38.0,0.11320987654320985
softmax tau=2.0 (baseline),38.0,0.9758024691358025
softmax tau=0.5 (sharper),38.0,1.0
polynomial n=8 (dense assoc. mem.),38.0,0.11777777777777779
threshold top-5 (sparse dist. mem.),38.0,0.13592592592592592
argmax (winner-take-all),38.0,1.0
identity (no separation),40.0,0.11197530864197532
softmax tau=2.0 (baseline),40.0,0.8828395061728395
softmax tau=0.5 (sharper),40.0,0.9919753086419754
polynomial n=8 (dense assoc. mem.),40.0,0.11481481481481481
threshold top-5 (sparse dist. mem.),40.0,0.13975308641975306
argmax (winner-take-all),40.0,0.9916049382716049
identity (no separation),42.0,0.11197530864197532
softmax tau=2.0 (baseline),42.0,0.528395061728395
