sigma,target,acc_input_noisy,acc_dynamics,exact_dynamics
0.0,140,1.0,1.0,1
0.0,83,0.2807017543859649,0.10526315789473684,0
0.0,49,0.3508771929824561,1.0,1
0.0,81,0.3333333333333333,1.0,1
0.0,163,1.0,1.0,1
0.0,27,1.0,1.0,1
0.0,105,1.0,1.0,1
0.0,184,0.12280701754385964,0.07017543859649122,0
0.0,87,0.22807017543859648,0.19298245614035087,0
0.0,62,0.49122807017543857,1.0,1
0.0,191,0.2982456140350877,1.0,1
0.0,119,0.19298245614035087,0.08771929824561403,0
0.0,108,0.07017543859649122,0.05263157894736842,0
0.0,88,0.14035087719298245,0.15789473684210525,0
0.0,17,1.0,1.0,1
0.0,100,0.3157894736842105,1.0,1
0.0,144,0.45614035087719296,1.0,1
0.0,97,1.0,1.0,1
0.0,5,1.0,1.0,1
0.0,6,0.10526315789473684,0.10526315789473684,0
0.005,140,1.0,1.0,1
0.005,83,0.2807017543859649,0.10526315789473684,0
0.005,49,0.3508771929824561,0.8245614035087719,0
0.005,81,0.3333333333333333,1.0,1
0.005,163,1.0,1.0,1
0.005,27,1.0,1.0,1
0.005,105,1.0,1.0,1
0.005,184,0.12280701754385964,0.07017543859649122,0
0.005,87,0.22807017543859648,0.38596491228070173,0
0.005,62,0.49122807017543857,1.0,1
0.005,191,0.2982456140350877,1.0,1
0.005,119,0.19298245614035087,0.10526315789473684,0
0.005,108,0.07017543859649122,0.08771929824561403,0
0.005,88,0.14035087719298245,0.07017543859649122,0
0.005,17,1.0,1.0,1
0.005,100,0.3157894736842105,1.0,1
0.005,144,0.45614035087719296,1.0,1
0.005,97,1.0,1.0,1
0.005,5,1.0,1.0,1
0.005,6,0.10526315789473684,0.12280701754385964,0
0.01,140,1.0,1.0,1
0.01,83,0.2807017543859649,0.05263157894736842,0
0.01,49,0.3508771929824561,0.22807017543859648,0
0.01,81,0.3333333333333333,1.0,1
0.01,163,1.0,1.0,1
0.01,27,1.0,1.0,1
0.01,105,1.0,1.0,1
0.01,184,0.12280701754385964,0.10526315789473684,0
0.01,87,0.22807017543859648,0.22807017543859648,0
0.01,62,0.49122807017543857,1.0,1
0.01,191,0.2982456140350877,1.0,1
0.01,119,0.19298245614035087,0.08771929824561403,0
