clue_fraction,target,true_active_pairs,hat_active_pairs,engram_overlap_dyn,attn_mass_true_dyn,attn_rank_dyn,unk_acc_dyn,engram_overlap_oracle,attn_mass_true_oracle,attn_rank_oracle,unk_acc_oracle
0.19,194,324,643,0.21333333333333335,0.0002017753286054358,123,0.10606060606060606,1.0,1.0,0,1.0
0.19,121,324,425,0.47333333333333333,0.999994158744812,0,1.0,1.0,1.0,0,1.0
0.19,142,324,593,0.24,0.0031791524961590767,31,0.16666666666666666,1.0,1.0,0,1.0
0.19,104,324,610,0.24666666666666667,0.0044760936871171,28,0.10606060606060606,1.0,1.0,0,1.0
0.19,7,324,354,0.6733333333333333,1.0,0,1.0,1.0,1.0,0,1.0
0.19,55,324,659,0.22666666666666666,0.0001926837139762938,87,0.09090909090909091,1.0,1.0,0,1.0
0.19,199,324,603,0.20666666666666667,5.38375461474061e-05,145,0.045454545454545456,1.0,1.0,0,1.0
0.19,193,324,329,0.98,1.0,0,1.0,1.0,1.0,0,1.0
0.25,54,324,512,0.26,0.005136234685778618,10,0.13114754098360656,1.0,1.0,0,1.0
0.25,99,324,324,1.0,1.0,0,1.0,1.0,1.0,0,1.0
0.25,146,324,691,0.22666666666666666,0.0018707626732066274,59,0.09836065573770492,1.0,1.0,0,1.0
0.25,1,324,559,0.23333333333333334,0.00029643523157574236,78,0.08196721311475409,1.0,1.0,0,1.0
0.25,47,324,543,0.46,0.9999276399612427,0,1.0,1.0,1.0,0,1.0
0.25,4,324,402,0.4666666666666667,0.9999908208847046,0,1.0,1.0,1.0,0,1.0
0.25,114,324,596,0.2733333333333333,0.034922778606414795,4,0.09836065573770492,1.0,1.0,0,1.0
0.25,188,324,565,0.22666666666666666,0.0005162779125384986,73,0.11475409836065574,1.0,1.0,0,1.0
0.3,43,324,444,0.48,0.9999936819076538,0,1.0,1.0,1.0,0,1.0
0.3,178,324,489,0.26,0.012816247530281544,14,0.07017543859649122,1.0,1.0,0,1.0
0.3,42,324,466,0.29333333333333333,0.17511798441410065,0,0.12280701754385964,1.0,1.0,0,1.0
0.3,59,324,390,0.5466666666666666,1.0,0,1.0,1.0,1.0,0,1.0
0.3,22,324,336,0.9066666666666666,1.0,0,1.0,1.0,1.0,0,1.0
0.3,18,324,370,0.6266666666666667,1.0,0,1.0,1.0,1.0,0,1.0
0.3,182,324,329,0.9666666666666667,1.0,0,1.0,1.0,1.0,0,1.0
0.3,133,324,625,0.28,0.055305980145931244,1,0.15789473684210525,1.0,1.0,0,1.0
