clue_fraction,target,acc_initial,acc_fixed,acc_numpy,exact_initial,exact_fixed,exact_numpy
0.15,14,0.1159420289855072,0.1159420289855072,0.0289855072463768,0,0,0
0.15,186,0.1159420289855072,0.0579710144927536,0.0289855072463768,0,0,0
0.15,174,0.1739130434782608,0.1159420289855072,0.072463768115942,0,0,0
0.15,50,0.1594202898550724,0.0869565217391304,0.0434782608695652,0,0,0
0.15,94,0.144927536231884,0.0869565217391304,0.072463768115942,0,0,0
0.15,87,0.0869565217391304,0.0869565217391304,0.072463768115942,0,0,0
0.15,133,0.3333333333333333,1.0,1.0,0,1,1
0.15,114,0.1304347826086956,0.144927536231884,0.0869565217391304,0,0,0
0.15,18,0.1884057971014492,0.072463768115942,0.072463768115942,0,0,0
0.15,7,0.1304347826086956,0.072463768115942,0.1594202898550724,0,0,0
0.15,155,0.144927536231884,0.1304347826086956,0.1304347826086956,0,0,0
0.15,113,0.072463768115942,0.072463768115942,0.072463768115942,0,0,0
0.15,173,0.2028985507246377,0.1159420289855072,0.1159420289855072,0,0,0
0.15,81,0.1594202898550724,0.1159420289855072,0.1014492753623188,0,0,0
0.15,48,0.1739130434782608,0.1159420289855072,0.1884057971014492,0,0,0
0.15,182,0.072463768115942,0.1159420289855072,0.144927536231884,0,0,0
0.15,177,0.1884057971014492,0.2318840579710145,0.1014492753623188,0,0,0
0.15,77,0.1304347826086956,0.1304347826086956,0.1304347826086956,0,0,0
0.15,52,0.1594202898550724,0.1014492753623188,0.0579710144927536,0,0,0
0.15,97,0.1304347826086956,0.0869565217391304,0.1304347826086956,0,0,0
0.19,26,0.0757575757575757,0.1363636363636363,0.0909090909090909,0,0,0
0.19,149,0.1212121212121212,0.1212121212121212,0.0606060606060606,0,0,0
0.19,187,0.1666666666666666,0.0606060606060606,0.0454545454545454,0,0,0
0.19,138,0.1363636363636363,0.1363636363636363,0.1363636363636363,0,0,0
0.19,95,0.106060606060606,0.1212121212121212,0.1515151515151515,0,0,0
0.19,65,0.106060606060606,0.1212121212121212,0.0303030303030303,0,0,0
0.19,142,0.2878787878787879,1.0,1.0,0,1,1
0.19,92,0.106060606060606,0.1363636363636363,0.1212121212121212,0,0,0
0.19,2,0.1818181818181818,0.1666666666666666,1.0,0,0,1
0.19,85,0.5454545454545454,1.0,1.0,0,1,1
0.19,199,0.106060606060606,0.0757575757575757,0.1515151515151515,0,0,0
0.19,99,0.1666666666666666,0.0606060606060606,0.2424242424242424,0,0,0
0.19,6,0.1666666666666666,0.1666666666666666,0.1818181818181818,0,0,0
0.19,21,0.1818181818181818,0.2121212121212121,0.1363636363636363,0,0,0
0.19,122,0.0757575757575757,0.0606060606060606,0.0454545454545454,0,0,0
0.19,195,0.0757575757575757,0.0757575757575757,0.0757575757575757,0,0,0
0.19,171,0.0303030303030303,0.0303030303030303,0.0909090909090909,0,0,0
0.19,4,0.106060606060606,0.106060606060606,0.1212121212121212,0,0,0
0.19,41,0.1666666666666666,0.1212121212121212,0.1363636363636363,0,0,0
0.19,68,0.1515151515151515,0.1363636363636363,0.1818181818181818,0,0,0
0.21,105,0.125,0.140625,0.0625,0,0,0
0.21,65,0.140625,0.171875,0.078125,0,0,0
0.21,62,0.203125,0.234375,0.390625,0,0,0
0.21,137,0.125,0.1875,0.140625,0,0,0
0.21,13,0.09375,0.171875,0.140625,0,0,0
0.21,25,0.21875,0.1875,1.0,0,0,1
0.21,86,0.125,0.140625,0.140625,0,0,0
0.21,112,0.09375,0.0625,0.109375,0,0,0
0.21,58,0.109375,0.09375,0.09375,0,0,0
0.21,123,0.09375,0.15625,0.125,0,0,0
0.21,14,0.109375,0.109375,0.109375,0,0,0
0.21,22,0.125,0.15625,0.09375,0,0,0
0.21,141,0.140625,0.0625,0.109375,0,0,0
0.21,148,0.078125,0.140625,0.078125,0,0,0
0.21,73,0.328125,1.0,1.0,0,1,1
0.21,124,0.125,0.15625,0.078125,0,0,0
0.21,80,0.125,0.09375,0.109375,0,0,0
0.21,76,0.078125,0.03125,0.0625,0,0,0
0.21,131,0.15625,0.078125,0.171875,0,0,0
0.21,104,0.203125,1.0,1.0,0,1,1
0.25,188,0.1475409836065573,0.1475409836065573,0.180327868852459,0,0,0
0.25,59,0.1311475409836065,0.2295081967213114,0.0655737704918032,0,0,0
0.25,132,0.2459016393442623,0.1639344262295081,1.0,0,0,1
0.25,62,0.180327868852459,0.081967213114754,0.081967213114754,0,0,0
0.25,177,0.081967213114754,0.0655737704918032,0.1147540983606557,0,0,0
0.25,41,0.0983606557377049,0.1639344262295081,0.1147540983606557,0,0,0
0.25,55,0.0655737704918032,0.1147540983606557,0.0983606557377049,0,0,0
0.25,126,0.1311475409836065,0.081967213114754,0.1639344262295081,0,0,0
0.25,175,0.0983606557377049,0.081967213114754,0.0655737704918032,0,0,0
0.25,19,0.1147540983606557,0.081967213114754,0.0983606557377049,0,0,0
0.25,138,0.1475409836065573,0.1147540983606557,0.2295081967213114,0,0,0
0.25,144,0.2786885245901639,1.0,1.0,0,1,1
0.25,199,0.5901639344262295,1.0,1.0,0,1,1
0.25,187,0.1639344262295081,0.180327868852459,0.1311475409836065,0,0,0
0.25,13,0.6721311475409836,1.0,1.0,0,1,1
0.25,83,0.081967213114754,0.1311475409836065,0.1639344262295081,0,0,0
0.25,60,0.180327868852459,0.1147540983606557,0.1147540983606557,0,0,0
0.25,124,0.1311475409836065,0.081967213114754,0.1475409836065573,0,0,0
0.25,105,0.0983606557377049,0.180327868852459,0.1967213114754098,0,0,0
0.25,186,0.180327868852459,0.1475409836065573,0.0655737704918032,0,0,0
0.27,107,0.1186440677966101,0.3220338983050847,0.1186440677966101,0,0,0
0.27,103,1.0,1.0,1.0,1,1,1
0.27,112,0.2033898305084746,1.0,1.0,0,1,1
0.27,174,0.1525423728813559,0.135593220338983,0.1694915254237288,0,0,0
0.27,170,0.0847457627118644,0.1016949152542373,0.1186440677966101,0,0,0
0.27,34,0.1694915254237288,1.0,1.0,0,1,1
0.27,38,0.1525423728813559,0.1016949152542373,0.0508474576271186,0,0,0
0.27,60,1.0,1.0,1.0,1,1,1
0.27,188,0.3728813559322034,1.0,1.0,0,1,1
0.27,145,0.1864406779661017,0.3220338983050847,0.1016949152542373,0,0,0
